"","enj_swip","gender","orientation","rel_status","da_usage","y_single","rec_friend","met_online","dates","pay","picky","body_types","rate_yourself","snap_easy","snap_time","snap_dating","insta_easy","insta_time","insta_dating","tik_easy","tik_time","tik_dating","tin_easy","tin_time","tin_dating","hin_easy","hin_time","hin_dating","bum_easy","bum_time","bum_dating","con_level"
"39","Yes","Male","straight","Single","NonUser","doesnt_want","Yes",NA,"Female","Split","Women","Inverted Triangle",4,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"low"
"40","No","Female","straight","InRelation","User",NA,"Yes","Online","Equal","Split","Women","Mesomorph",7,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,"high"
"41","No","Male","straight","InRelation","NonUser",NA,"No","Online","Equal","Male","Women","Hour Glass",8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"42","No","Female","straight","Single","User","doesnt_want","Yes",NA,"Equal","Female","Men","Mesomorph",8,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,"high"
"43","No","Female","straight","Single","NonUser","doesnt_want","No",NA,"Male","Split","Equal","Endomorph",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"44","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Male","Male","Equal","Hour Glass",9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"45","No","Male","straight","InRelation","NonUser",NA,"Yes","Offline","Female","Split","Men","Inverted Triangle",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"46","No","Female","straight","Single","NonUser","cant_find","No",NA,"Male","Split","Men","Mesomorph",8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"47","No","Female","straight","InRelation","User",NA,"Yes","Offline","Male","Male","Men","Endomorph",10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"high"
"48","No","Female","bi","Single","User","cant_find","No",NA,"Male","Male","Women","Mesomorph",6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"low"
"49","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Female","Male","Men","Mesomorph",9,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"high"
"50","Yes","Female","bi","InRelation","User",NA,"Yes","Online","Female","Split","Women","Hour Glass",7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,"high"
"51","No","Female","straight","InRelation","User",NA,"Yes","Offline","Equal","Male","Equal","Endomorph",4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"52","No","Female","straight","InRelation","NonUser",NA,"Yes","Online","Equal","Male","Equal","Mesomorph",7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"high"
"53","No","Male","straight","Single","User","cant_find","No",NA,"Equal","Split","Women","Triangle",7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"high"
"54","No","Male","straight","InRelation","User",NA,"Yes","Offline","Female","Split","Women","Hour Glass",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"low"
"55","No","Female","straight","Single","NonUser","cant_find","No",NA,"Equal","Male","Equal","Mesomorph",5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"56","No","Male","straight","InRelation","User",NA,"No","Offline","Male","Split","Women","Inverted Triangle",6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"57","No","Female","straight","InRelation","NonUser",NA,"Yes","Offline","Equal","Split","Equal","Ectomorph",7,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,"high"
"58","Yes","Male","straight","Single","User","cant_find","Yes",NA,"Female","Split","Women","Triangle",6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,"low"
"59","No","Male","bi","InRelation","User",NA,"No","Online","Male","Split","Women","Hour Glass",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"60","Yes","Female","bi","Single","User","cant_find","No",NA,"Male","Male","Equal","Endomorph",5,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,"low"
"61","Yes","Female","straight","InRelation","NonUser",NA,"No","Offline","Equal","Male","Equal","Mesomorph",8,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,"high"
"62","Yes","Male","straight","Single","User","doesnt_want","No",NA,"Female","Split","Equal","Triangle",6,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,"low"
"63","Yes","Female","bi","InRelation","User",NA,"Yes","Online","Female","Male","Women","Endomorph",8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,"high"
"64","Yes","Female","straight","Single","User","doesnt_want","No",NA,"Male","Male","Women","Mesomorph",9,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"high"
"65","Yes","Female","bi","InRelation","User",NA,"No","Online","Male","Split","Equal","Hour Glass",10,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,"high"
"66","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Equal","Male","Women","Endomorph",10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"67","No","Female","bi","Single","NonUser","cant_find","No",NA,"Equal","Male","Equal","Mesomorph",7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"68","No","Male","straight","InRelation","User",NA,"Yes","Offline","Female","Male","Women","Triangle",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"high"
"69","No","Female","bi","Single","User","doesnt_want","No",NA,"Female","Split","Equal","Triangle",5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"70","Yes","Male","straight","InRelation","User",NA,"Yes","Online","Female","Male","Equal","Inverted Triangle",10,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,"high"
"71","No","Female","straight","Single","NonUser","cant_find","No",NA,"Male","Split","Men","Ectomorph",4,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"low"
"72","Yes","Female","straight","Single","User","cant_find","Yes",NA,"Female","Male","Equal","Mesomorph",7,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,"high"
"73","No","Male","straight","InRelation","NonUser",NA,"Yes","Online","Male","Split","Equal","Hour Glass",4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"74","Yes","Male","bi","InRelation","User",NA,"Yes","Offline","Male","Male","Women","Triangle",4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"low"
"75","No","Female","straight","Single","NonUser","doesnt_want","No",NA,"Female","Male","Men","Ectomorph",5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"76","No","Female","straight","InRelation","User",NA,"Yes","Online","Female","Male","Women","Mesomorph",7,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,"high"
"77","No","Male","straight","InRelation","NonUser",NA,"No","Offline","Female","Split","Equal","Hour Glass",8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"78","Yes","Male","straight","InRelation","NonUser",NA,"No","Offline","Equal","Male","Women","Triangle",5,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,"low"
"79","No","Female","straight","Single","NonUser","cant_find","No",NA,"Male","Split","Equal","Ectomorph",7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"80","No","Male","straight","Single","NonUser","cant_find","No",NA,"Female","Male","Women","Triangle",7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"81","Yes","Male","straight","InRelation","NonUser",NA,"Yes","Online","Female","Male","Women","Hour Glass",9,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"82","No","Male","straight","InRelation","User",NA,"No","Online","Female","Split","Women","Inverted Triangle",7,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,"high"
"83","No","Female","straight","Single","NonUser","cant_find","No",NA,"Equal","Male","Equal","Mesomorph",3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,"low"
